--contingency
label
'Percentile_50_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 0.99921328783038121379, -86.66643169182491135416, 0.00000000000000000000
2, 1.00439137012821699813, -71.82510646746870008883, 0.00000000000000000000
3, 1.00115681808212864112, -74.56647909653152339615, 0.00000000000000000000
4, 1.00126156083402784169, -76.62667726128958634035, 0.00000000000000000000
5, 0.99965754703312648122, -86.70645431035595152025, 0.00000000000000000000
6, 1.00850065300102231802, -182.36967809448759680890, 0.00000000000000000000
7, 0.99777434561955158365, -84.44409642042832331299, 0.00000000000000000000
8, 0.99932058455875516501, -86.29604157235739592124, 0.00000000000000000000
9, 1.00050479788766155664, -81.55880810453054152731, 0.00000000000000000000
10, 1.00266599287320024025, -84.96840651741361227778, 0.00000000000000000000
11, 1.00272231360801700184, -79.58961905367631572972, 0.00000000000000000000
12, 0.99861183564635835896, -80.64062639516164665565, 0.00000000000000000000
13, 0.99972809489292213669, -86.69124932325928512000, 0.00000000000000000000
14, 1.00030336533246000386, -82.97976739588142436332, 0.00000000000000000000
15, 1.00160464914144387016, -79.10252797535729030187, 0.00000000000000000000
16, 0.99688342495428761136, -83.13684592731844702485, 0.00000000000000000000
17, 0.99924186555425809075, -81.74167333484669484278, 0.00000000000000000000
18, 1.00200919067763671855, -66.02877465603526729865, 0.00000000000000000000
19, 0.99832361798869373448, -84.65945113001795618857, 0.00000000000000000000
20, 0.99912601419114110968, -86.69306342674941845416, 0.00000000000000000000
21, 1.00730659009525669312, -78.21614877401704291060, 0.00000000000000000000
22, 0.99630062105791317162, -79.76269673963848561016, 0.00000000000000000000
23, 0.99901863615904629157, -75.82947444845072482167, 0.00000000000000000000
24, 0.99843209726031600937, -81.42469931544718519945, 0.00000000000000000000
25, 0.99791235836829372818, -76.13316599539858486878, 0.00000000000000000000
26, 0.99829859620990069047, -73.47637424951133766626, 0.00000000000000000000
27, 0.98684638196105101127, -74.28396613311352325582, 0.00000000000000000000
28, 1.00738002176550489608, -72.51593979357168961997, 0.00000000000000000000
29, 0.99957858231535445803, -74.27153562360719263324, 0.00000000000000000000
30, 0.99774881988937780264, -74.73052725635480442179, 0.00000000000000000000
31, 1.00201433012291007962, -79.11002074702643938053, 0.00000000000000000000
32, 1.00220322957728957824, -67.75475618209949857373, 0.00000000000000000000
33, 0.99706267425219174960, -70.43969565356674422674, 0.00000000000000000000
34, 1.00739579741105411692, -70.31766669927662860573, 0.00000000000000000000
35, 1.00756061035006649895, -60.59814048299617894600, 0.00000000000000000000
36, 1.00194980420127977006, -83.52164663164609237356, 0.00000000000000000000
37, 1.00769823924576518159, -60.54020360898140751260, 0.00000000000000000000
