--contingency
label
'Percentile_50_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 0.99930888941157969274, -86.86735208629872317942, 0.00000000000000000000
2, 1.00438083231598862533, -72.04079599105288878036, 0.00000000000000000000
3, 1.00111449241953698319, -74.78072127205363983649, 0.00000000000000000000
4, 1.00153306625944860109, -76.83700212764858861192, 0.00000000000000000000
5, 0.99971226883337627189, -86.91864875641506671400, 0.00000000000000000000
6, 1.00856711944294863414, -182.47236122470710029120, 0.00000000000000000000
7, 0.99791647634579550008, -84.65388112025280520356, 0.00000000000000000000
8, 0.99942299719411309411, -86.49774217629992278944, 0.00000000000000000000
9, 1.00063438263939641359, -81.77264622944122152148, 0.00000000000000000000
10, 1.00280097703774373485, -85.17311953770868626634, 0.00000000000000000000
11, 1.00292306371344475124, -79.79124517572996921899, 0.00000000000000000000
12, 0.99853001529814866544, -80.85212386342838897235, 0.00000000000000000000
13, 0.99978287855823966268, -86.90344609040046464088, 0.00000000000000000000
14, 1.00030717125072676765, -83.19060848206876812583, 0.00000000000000000000
15, 1.00150558383368504245, -79.31425530496905196287, 0.00000000000000000000
16, 0.99686894658667657421, -83.34745234071245079122, 0.00000000000000000000
17, 0.99915654531308562003, -81.95255672726193552080, 0.00000000000000000000
18, 1.00177899303299544620, -66.24903734117182807495, 0.00000000000000000000
19, 0.99844270314250349596, -84.86107158548834661360, 0.00000000000000000000
20, 0.99922230605473993936, -86.89435653518852120669, 0.00000000000000000000
21, 1.00739157179513272311, -78.42614516571775595821, 0.00000000000000000000
22, 0.99635812471842566396, -79.97099792154239139563, 0.00000000000000000000
23, 0.99897283155720062453, -76.04293285476769881370, 0.00000000000000000000
24, 0.99834842553920555286, -81.63576157610978611956, 0.00000000000000000000
25, 0.99787364971423786475, -76.32740339764724524230, 0.00000000000000000000
26, 0.99827863836665764463, -73.67113562452921371460, 0.00000000000000000000
27, 0.98682447391920602442, -74.47870197251229740232, 0.00000000000000000000
28, 1.00736315360875816616, -72.71070785110711653942, 0.00000000000000000000
29, 0.99954243839891121493, -74.46567986730161692321, 0.00000000000000000000
30, 0.99771232463679926372, -74.92470477645719029169, 0.00000000000000000000
31, 1.00197078845622655763, -79.30440471765091103862, 0.00000000000000000000
32, 1.00227447553192550167, -67.94199952053072877334, 0.00000000000000000000
33, 0.99711090798511570199, -70.63477493207945201448, 0.00000000000000000000
34, 1.00740077417929074777, -70.51834573152729035428, 0.00000000000000000000
35, 1.00751347474991947983, -60.70660182079171107716, 0.00000000000000000000
36, 1.00166016416077119366, -83.60008055515679359360, 0.00000000000000000000
37, 1.00764148859103119804, -60.64635872231912827601, 0.00000000000000000000
38, 0.99783727909395625311, -83.96336941788474916848, 0.00000000000000000000
39, 1.00010726384454762261, -17.82498324486898155783, 0.00000000000000000000
40, 0.98802296376656695287, -70.96331848054006741222, 0.00000000000000000000
41, 1.00295744684975729477, -56.29540455750653649147, 0.00000000000000000000
42, 0.97689482941828387208, -87.87177420016887197107, 0.00000000000000000000
43, 1.00043496386495744943, -69.95586649415939461960, 0.00000000000000000000
44, 1.00007214997995719230, -69.56206215371072687503, 0.00000000000000000000
45, 1.00211651931045597763, -26.93960865495381540313, 0.00000000000000000000
46, 1.00752515664406749885, -66.67405270051823151789, 0.00000000000000000000
47, 0.99440282724176898288, -71.70618711079323759350, 0.00000000000000000000
48, 0.99374165367196110044, -69.82962649805429578009, 0.00000000000000000000
49, 1.00684417259283987001, -61.05350497638858087157, 0.00000000000000000000
50, 0.98907075934358801295, -63.66200080151266149642, 0.00000000000000000000
51, 1.00256894808310925704, -83.73336813611375362143, 0.00000000000000000000
52, 0.99330203153775920022, -69.86257844763646573938, 0.00000000000000000000
53, 0.97937703962159594617, -87.54125740486394136042, 0.00000000000000000000
54, 1.00085060989123864061, -65.30472102854511717851, 0.00000000000000000000
55, 1.00208156717793284152, -71.50007627877508298297, 0.00000000000000000000
56, 0.99982852565761870522, -61.18182243838560907534, 0.00000000000000000000
57, 0.99100257727274576602, -74.16606594009425634795, 0.00000000000000000000
58, 1.00067883235634669248, -62.15376354765993482943, 0.00000000000000000000
59, 1.00116207606441154354, -65.14427152624682548776, 0.00000000000000000000
60, 1.00224486286467273644, -62.06281684079528560005, 0.00000000000000000000
61, 1.00731937616023614623, -71.40945048003726469688, 0.00000000000000000000
62, 1.00566309799976116857, -90.97657009717161713525, 0.00000000000000000000
63, 1.01505747749013752745, -85.75228300692502614311, 0.00000000000000000000
64, 1.00600796152760962876, -92.10723399328263383268, 0.00000000000000000000
65, 1.00959879603047220087, -92.12311649026091231462, 0.00000000000000000000
66, 1.00020423941401936929, -83.80730695259235574213, 0.00000000000000000000
67, 0.99152398083428416875, -81.35040816616455572330, 0.00000000000000000000
68, 1.00125970862976609865, -87.13347496131764557958, 0.00000000000000000000
69, 1.00208321587800663899, -76.82676054162870116215, 0.00000000000000000000
70, 1.00352301006690391993, -70.97211629156208800850, 0.00000000000000000000
71, 0.99868083517608707833, -74.52133437613959188184, 0.00000000000000000000
72, 1.00147331923154569999, -71.55189602259187608979, 0.00000000000000000000
73, 0.99841514935094866079, -74.52647619823757452195, 0.00000000000000000000
74, 1.00408776309204839094, -76.54588622856964263974, 0.00000000000000000000
75, 1.00212248428451977666, -76.41169713069619717771, 0.00000000000000000000
76, 1.00101893322844159862, -82.56076255462519952744, 0.00000000000000000000
77, 1.00006351986562735945, -87.32908840788429927215, 0.00000000000000000000
78, 1.00073486342763251500, -71.34302813159374068164, 0.00000000000000000000
79, 0.99776169811759773953, -72.28069449927716050297, 0.00000000000000000000
80, 1.00190088251585263102, -76.25566721844288053944, 0.00000000000000000000
81, 0.98141157045363747180, -72.55446631011879787820, 0.00000000000000000000
82, 0.99815716960520795009, -78.70646012251047807240, 0.00000000000000000000
83, 0.99914582577644772687, -73.31957564813862404662, 0.00000000000000000000
84, 0.99646386601212921796, -75.25207089259282611238, 0.00000000000000000000
85, 1.00410578386165205700, -76.50470087800572116521, 0.00000000000000000000
86, 1.00130823031625393327, -80.35315066658914417985, 0.00000000000000000000
87, 1.00299708790460595509, -73.16736892010452208979, 0.00000000000000000000
88, 0.99863813319576633099, -82.59130051521636062262, 0.00000000000000000000
89, 1.00356742609753890605, -70.97095980297471840004, 0.00000000000000000000
90, 1.00240264788913413518, -76.30608146163997673739, 0.00000000000000000000
91, 0.99031404921086696458, -72.42515292694172046595, 0.00000000000000000000
92, 0.99638361608653425172, -81.05144958585748327096, 0.00000000000000000000
93, 0.99759548758574989602, -81.35735222276878175762, 0.00000000000000000000
94, 0.99778807135665859018, -83.57654393976693540935, 0.00000000000000000000
95, 1.00173264873276623987, -75.90857033302228273897, 0.00000000000000000000
96, 0.99859648227648134533, -84.76987260556052206084, 0.00000000000000000000
97, 0.99979120625887474283, -79.72309983798380983444, 0.00000000000000000000
98, 0.98840622853040649431, -64.76495779617927439631, 0.00000000000000000000
99, 0.99284030260039712878, -67.81099334724584082323, 0.00000000000000000000
100, 1.00170843196276715403, -72.03844468565438319274, 0.00000000000000000000
101, 0.99235017294512672947, -90.43171022239793899189, 0.00000000000000000000
102, 0.99835257391377363323, -73.48686821970539995164, 0.00000000000000000000
103, 1.00070286328704205481, -71.46801624259875040934, 0.00000000000000000000
104, 1.00738364625241860750, -89.39740510994738542649, 0.00000000000000000000
105, 1.00372234936600124300, -54.77885370172529633237, 0.00000000000000000000
106, 1.00548275684050469891, -65.22945729611028298223, 0.00000000000000000000
107, 1.00322060873584151253, -37.92384439618331981592, 0.00000000000000000000
108, 1.00130503654288238735, -44.43010998518533227752, 0.00000000000000000000
