--ramp rate info
Generator, Unit, ramp rate bound
1595, '3', 6.8879109607
2107, '1', 10.5635159652
2107, '2', 10.4453015991
2107, '3', 9.7716377632
198, '1', 1.7816494549
198, '2', 3.2104812175
302, '1', 0.3712295453
1058, '1', 0.1764130744
8461, '3', 3.5288322934
8461, '4', 3.9051934249
2208, '1', 2.4156844433
607, '1', 0.3593796687
138, '2', 0.3205445556
1855, '4', 1.0385135197
8461, '5', 6.1287847337
8461, '6', 5.5995232946
8461, '7', 2.5929930694
8461, '8', 5.7237182421
2065, '1', 0.0136565896
2065, '2', 0.0257980540
181, '1', 0.3568400028
181, '2', 0.7511779760
181, '3', 0.4013317327
181, '4', 0.6013318725
181, '5', 0.7110938057
562, '1', 0.0153348258
562, '2', 0.0202408116
562, '3', 0.0195056078
562, '4', 0.0215257312
859, '1', 0.0523365326
1199, '1', 0.0703537856
1199, '2', 0.1015199068
1199, '3', 0.0462590722
1199, '4', 0.0604063221
1199, '5', 0.1030711005
1199, '6', 0.1073866982
8148, '1', 0.0895017921
8148, '2', 0.0625325280
2212, '1', 0.1728438244
2212, '2', 0.2101989405
108, '1', 0.0138202645
108, '2', 0.0128686699
108, '3', 0.0171731976
108, '4', 0.0230355364
1098, '1', 1.9665108750
1098, '2', 1.2782901210
8185, '4', 0.9720175696
2000, '1', 0.0338240733
2000, '2', 0.0275421791
782, '1', 0.0259991311
2118, '1', 0.0269084512
1885, '2', 0.0664049473
8357, '1', 0.0416539854
999, '1', 0.0693637918
1330, '2', 0.0543855723
8357, '2', 0.0293493250
1993, '1', 0.0701989075
2365, '1', 1.8620151569
2365, '2', 2.3637669354
2365, '3', 2.2903855333
2365, '4', 2.1518447348
1320, '1', 0.0651828099
2158, '1', 0.0643545578
1127, '1', 0.0067169197
1127, '2', 0.0347539785
468, '1', 0.0399779369
468, '2', 0.0473930093
2286, '1', 0.4930696968
2286, '2', 0.2620186774
1884, '1', 0.0926071568
1884, '2', 0.0428119338
8472, '2', 0.5571570740
461, '1', 0.1345909196
461, '2', 0.1069081989
2004, '1', 0.0131520025
2004, '2', 0.0169229072
8315, '1', 0.0144799293
8315, '2', 0.0140559791
8315, '3', 0.0343176452
8315, '4', 0.0350433118
8315, '5', 0.0324336270
1846, '1', 0.0321844316
1846, '2', 0.0354504942
1846, '3', 0.0167522080
1846, '4', 0.0326765432
8315, '6', 0.0228433753
8315, '7', 0.0297907856
8315, '8', 0.0333860922
8315, '9', 0.0263849408
8315, '10', 0.0235194547
1846, '5', 0.0207492308
1846, '6', 0.0258287271
1846, '7', 0.0258246126
1846, '8', 0.0315518153
1846, '9', 0.0316113305
1846, '10', 0.0206961498
1018, '1', 0.0192579131
1018, '2', 0.0369983820
1018, '3', 0.0274556105
7808, '7', 0.0372276523
7808, '8', 0.0218013583
7808, '9', 0.0255629729
7808, '10', 0.0157325190
7808, '11', 0.0301445225
7808, '12', 0.0214982057
7808, '13', 0.0335794682
1846, '11', 0.0288431302
8315, '11', 0.0147550101
8315, '12', 0.0301034860
8315, '13', 0.0320509916
8315, '14', 0.0179864855
8315, '15', 0.0275221667
8315, '16', 0.0280938065
8315, '17', 0.0361769995
1031, '1', 0.0162580769
1031, '2', 0.0227855861
1031, '3', 0.0361095689
1031, '4', 0.0200073287
1031, '5', 0.0318940787
1031, '6', 0.0304020773
1031, '7', 0.0314830757
8315, '18', 0.0163842871
8315, '19', 0.0365928066
8315, '20', 0.0344968848
1037, '1', 0.0278660662
1037, '2', 0.0292421995
1037, '3', 0.0320668199
1037, '4', 0.0252574863
1037, '5', 0.0297054067
1037, '6', 0.0202494539
1037, '7', 0.0262323877
1031, '8', 0.0238328078
1031, '9', 0.0187923265
1031, '10', 0.0166004623
7830, '1', 0.0279167588
7830, '2', 0.0309242864
7830, '3', 0.0363820462
7830, '4', 0.0171832127
7830, '5', 0.0141347631
990, '3', 0.0215788017
990, '4', 0.0303849073
990, '5', 0.0245611939
990, '6', 0.0366016312
990, '7', 0.0237896706
990, '8', 0.0275018353
990, '9', 0.0258613384
990, '10', 0.0268555236
990, '11', 0.0147138864
990, '12', 0.0380065255
990, '13', 0.0149133719
990, '14', 0.0176486453
990, '15', 0.0185077472
990, '16', 0.0377684365
990, '17', 0.0315733279
990, '18', 0.0360102020
1000, '1', 0.0353596360
1000, '2', 0.0261671979
1000, '3', 0.0240202746
1000, '4', 0.0171238333
1000, '5', 0.0193955370
1000, '6', 0.0143875972
1000, '7', 0.0156814782
1595, '4', 4.3321275563
1595, '5', 12.0836971700
1595, '6', 9.9257777603
1595, '7', 8.6067530398
2204, '1', 8.0664488464
288, '1', 4.0222905953
288, '2', 5.5917501937
2264, '1', 3.2006118415
2264, '2', 7.2732561632
471, '1', 3.1835976090
2407, '2', 0.4309238204
1856, '1', 0.2020560029
1508, '1', 0.4232442198
344, '3', 0.1408200150
1703, '7', 0.0770077624
1702, '4', 0.0942482704
2084, '1', 0.0482930707
481, '3', 0.0894944522
1945, '1', 0.0760628266
448, '1', 0.5005622058
7911, '3', 5.3552503132
7911, '4', 4.4981629297
111, '1', 4.7966762401
317, '1', 0.2225491259
317, '2', 1.4260530835
317, '3', 1.2285284985
1720, '1', 0.1187631536
1720, '2', 0.1052411666
471, '2', 8.0384025740
8357, '3', 6.8960021800
8357, '4', 8.9950313896
1885, '3', 0.0467150109
1176, '1', 2.1437183154
1176, '2', 0.6531195118
1176, '3', 5.7766608041
1176, '4', 4.0224864428
1176, '5', 2.3979286490
1435, '1', 0.0267076755
1435, '2', 0.0184323340
1435, '3', 0.0224495509
1435, '4', 0.0332896925
1435, '5', 0.0286873618
1435, '6', 0.0157867511
1435, '7', 0.0292915649
1435, '8', 0.0132637384
1435, '9', 0.0317719378
1435, '10', 0.0311512945
1051, '1', 1.5995193572
2407, '3', 1.6132155815
426, '7', 0.0048801009
426, '8', 0.0036295988
426, '9', 0.0030572620
426, '10', 0.0047919053
426, '11', 0.0040607781
426, '12', 0.0026270542
426, '13', 0.0041580718
426, '14', 0.0030133648
426, '15', 0.0021377667
426, '16', 0.0028298693
426, '17', 0.0033406999
2405, '1', 1.7411393637
1855, '5', 5.3884713013
1855, '6', 3.8095673830
1855, '7', 2.2615723629
1855, '8', 4.9440045691
1855, '9', 2.3480200690
1855, '10', 3.8615848007
1855, '11', 5.1056978786
1855, '12', 4.4251932876
2245, '1', 2.7289432309
2245, '2', 1.9455245742
2245, '3', 1.2940651077
2245, '4', 2.2569393126
2314, '1', 4.8514781162
7889, '1', 5.9167591382
8142, '1', 9.4073935711
145, '1', 0.6428134909
8231, '1', 1.0370284854
8231, '2', 0.6158580677
915, '1', 0.0646450955
7989, '1', 3.0392993642
7989, '2', 5.7620496619
7989, '3', 2.9209690642
7989, '4', 2.8949656609
7989, '5', 3.7647085733
121, '1', 1.4805111447
131, '1', 1.1154069000
1846, '12', 0.0338164990
1846, '13', 0.0210627429
1846, '14', 0.0307836030
1846, '15', 0.0262271507
1846, '16', 0.0257593213
1034, '1', 0.0579680877
8003, '4', 6.2030716884
8003, '5', 3.6641441595
8003, '6', 6.6379976577
1810, '1', 0.0442228908
1810, '2', 0.0388536502
2324, '1', 0.3003595565
2384, '1', 1.1110896801
2384, '2', 0.6103974495
286, '1', 0.1325299878
286, '2', 0.0898189328
90, '1', 0.1286614826
1168, '2', 0.0457730633
1168, '3', 0.0249078406
2304, '1', 0.0931166115
2304, '2', 0.1139631605
2304, '3', 0.0145675888
2304, '4', 0.0371669875
1879, '1', 0.1473224094
1879, '2', 0.3147834368
1879, '3', 0.6172943893
1879, '4', 0.1026008011
1895, '4', 1.3230276813
295, '2', 3.8588269351
1133, '1', 0.0994487326
2196, '4', 0.0826645167
1955, '2', 0.0860253699
877, '1', 0.4841425443
893, '1', 0.1086314118
893, '2', 0.1596045387
565, '1', 0.0528037016
446, '5', 0.0537773572
1176, '6', 7.5328051340
1176, '7', 7.8265486664
1176, '8', 2.8109001935
1176, '9', 6.5554074825
1176, '10', 5.2232835568
818, '1', 0.1685359673
818, '2', 0.1484670713
1607, '1', 4.0261965851
1783, '6', 1.8862261759
559, '1', 0.1601914696
288, '3', 4.5278505127
8790, '1', 0.0485903796
8790, '2', 0.0596070852
1858, '7', 0.1920529343
8535, '3', 4.1845553223
1546, '1', 0.6587623980
1546, '2', 0.8308768036
1879, '5', 0.0623953942
1853, '2', 0.1875767216
917, '1', 0.0301423317
2314, '2', 3.6853279789
2280, '1', 0.4577236151
1110, '1', 0.0520260660
46, '1', 0.1121656998
2267, '1', 0.0790646483
1932, '4', 4.5741106568
859, '2', 0.1829572094
2351, '1', 0.3733599142
859, '3', 0.0903645119
2351, '2', 0.2576455342
859, '4', 0.0781975125
2351, '3', 0.3311738214
877, '2', 0.2072869681
877, '3', 0.1884788431
877, '4', 0.3349027460
1330, '3', 0.0725642629
7830, '6', 0.0383529689
385, '1', 0.0641750011
385, '2', 0.0933845755
859, '5', 0.0237456164
659, '1', 0.0260297770
1810, '3', 0.0491449957
8588, '1', 0.0456962365
1257, '1', 0.0305688704
1257, '2', 0.0199007019
974, '1', 0.2834357794
974, '2', 0.1923197764
974, '3', 0.3753602216
974, '4', 0.1673365318
974, '5', 0.3226260130
974, '6', 0.1843963547
1413, '1', 0.0390948176
491, '1', 0.0901005879
1683, '1', 7.6018350279
295, '3', 5.2804568473
8680, '5', 4.9625130085
491, '2', 0.1111193434
295, '4', 3.8988480703
8640, '1', 0.0640668769
1944, '1', 0.0739324924
975, '1', 0.1694408764
917, '2', 0.0402248976
2080, '1', 0.0960844632
2080, '2', 0.0258919801
1879, '6', 0.0654407483
475, '1', 0.0443109653
8102, '1', 0.0336322288
319, '1', 1.3891389875
131, '2', 1.2203937386
219, '1', 0.0686519216
8315, '21', 0.0231782520
8315, '22', 0.0325439389
8315, '23', 0.0289756877
8315, '24', 0.0227994320
8315, '25', 0.0359162064
8315, '26', 0.0379352783
8315, '27', 0.0263809230
8315, '28', 0.0355952491
8315, '29', 0.0143214825
8315, '30', 0.0188551763
8094, '1', 6.7870079032
8094, '2', 3.8931805889
8094, '3', 4.3667866739
8094, '4', 3.0766263770
1035, '1', 0.0918023132
1053, '1', 5.0084750906
192, '1', 0.4284405968
7882, '3', 0.1505923152
1051, '2', 0.3594949141
2264, '3', 3.3045034176
1578, '1', 0.1557575748
1799, '1', 0.0660828331
1787, '2', 10.5232303334
1787, '3', 2.2064910236
1183, '1', 0.0148002626
1183, '2', 0.0289516778
2235, '1', 2.4161357165
2235, '2', 0.8002115576
2235, '3', 0.8209046698
2235, '4', 1.2738375608
2235, '5', 1.1270606817
2235, '6', 1.7163366628
2235, '7', 1.6147984442
2235, '8', 0.6862162279
2235, '9', 0.5617130064
2235, '10', 1.2438997861
2235, '11', 0.7810476922
1412, '1', 0.8769874649
1412, '2', 2.5151430851
698, '4', 0.1731048700
698, '5', 0.2458349658
698, '6', 0.2618198835
698, '7', 0.3236289136
698, '8', 0.4520258468
1354, '1', 0.8740246584
377, '1', 0.0113699893
377, '2', 0.0237402152
377, '3', 0.1599200427
377, '4', 0.1905757211
377, '5', 0.1071099827
413, '1', 0.1825289211
456, '1', 0.0684482573
309, '1', 0.0511728512
309, '2', 0.0743347660
309, '3', 0.0717376955
715, '1', 0.9901237876
715, '2', 0.0810318956
909, '1', 0.0185951461
909, '2', 0.0380993566
227, '1', 0.2609735638
1838, '1', 0.0578751231
1838, '2', 0.0749781126
1329, '1', 0.0560954954
1402, '1', 0.0282739034
1486, '1', 0.0400636652
1864, '2', 0.0613534278
1864, '3', 0.0703044459
1864, '4', 0.0520236080
113, '1', 0.0438244894
2353, '1', 0.0953445411
1418, '1', 1.1822636137
1944, '2', 0.0078076946
1944, '3', 0.0060018301
1944, '4', 0.0111785656
1944, '5', 0.0076537925
1944, '6', 0.0107774496
1006, '1', 0.0112291137
1006, '2', 0.0052596942
1006, '3', 0.0105649004
1006, '4', 0.0059989669
1006, '5', 0.0049575154
322, '1', 1.4676446268
407, '1', 1.0955629173
8314, '1', 0.0174223203
8314, '2', 0.0161362792
8314, '3', 0.0066463488
2030, '1', 0.2315725638
2030, '2', 0.0119806809
2030, '3', 0.0098043443
2030, '4', 0.1519748642
2030, '5', 0.0134675684
2030, '6', 0.0492498702
1038, '1', 0.0974696201
8843, '1', 0.0590159791
2324, '2', 0.2066625147
2324, '3', 0.2875520528
2324, '4', 0.1855457595
1508, '2', 1.0119480578
1776, '1', 0.1097012583
8269, '1', 0.3763360234
1793, '1', 0.2063994237
1776, '2', 0.1375197876
2036, '1', 0.0614331712
2036, '2', 0.0753655273
2036, '3', 0.0382795092
2275, '1', 0.0464023183
806, '1', 0.0466671890
1858, '8', 0.3424212123
812, '1', 0.0363689546
348, '1', 0.0664119264
342, '1', 0.1241490488
2117, '2', 0.1299370659
2117, '3', 0.1888023996
2091, '1', 0.0604973846
2091, '2', 0.0217370659
2091, '3', 0.0186734203
2091, '4', 0.0167035039
458, '1', 0.1172348609
458, '2', 0.1373398274
2268, '1', 0.1096655636
2268, '2', 0.0451297425
304, '3', 0.0303082250
304, '4', 0.0268425221
229, '1', 0.0519363264
1907, '1', 0.0645607778
2215, '1', 0.0588037383
1809, '1', 0.0584100076
1512, '1', 0.0342191236
633, '1', 0.0633793165
8302, '1', 0.0929321773
8302, '2', 0.1073542577
8302, '3', 0.0541097208
1442, '1', 0.0629349579
1442, '2', 0.0386878885
1442, '3', 0.0439267907
1419, '1', 0.0531895958
1419, '2', 0.0270514033
1419, '3', 0.1026293851
1429, '1', 0.0647753001
1429, '2', 0.0632733009
1429, '3', 0.0397201415
1435, '11', 0.0557198145
1435, '12', 0.0419350370
1435, '13', 0.0913147685
1904, '1', 0.0707745050
8340, '1', 0.0616970354
8340, '2', 0.1047210567
1412, '3', 1.2856992386
51, '1', 0.0697479574
51, '2', 0.1602963176
1412, '4', 0.6616440961
2402, '1', 0.6219777472
71, '1', 0.0813012895
8843, '2', 0.0620543664
2314, '3', 2.7482592043
2314, '4', 2.8525067084
2314, '5', 2.7393685260
2314, '6', 4.4036721428
2314, '7', 2.0731910415
2314, '8', 0.8069574242
2314, '9', 3.1520216677
2314, '10', 0.8151417471
2314, '11', 4.2680499254
2314, '12', 2.0684854325
2314, '13', 3.4310561278
2314, '14', 1.5357130715
2314, '15', 3.7833139700
295, '5', 2.7942381440
2203, '5', 3.9561104377
638, '1', 0.0296077126
1508, '3', 0.1493924139
1508, '4', 0.2598538498
8832, '4', 0.2013834996
8832, '5', 0.1654817028
8832, '6', 0.1122641579
8832, '7', 0.2390866277
8832, '8', 0.1495737890
7889, '2', 2.4371448434
7889, '3', 0.9763244231
7889, '4', 1.2711770213
7889, '5', 2.5290225006
7889, '6', 1.2289822749
7889, '7', 0.7421152584
1458, '2', 0.1577937241
1458, '3', 0.2523199605
1458, '4', 0.1762454254
7850, '1', 0.0861519317
7850, '2', 0.0973860590
8830, '1', 0.1027612257
8830, '2', 0.0621621142
535, '1', 0.0160334871
535, '2', 0.0121386567
535, '3', 0.0229206542
535, '4', 0.0152289235
535, '5', 0.0144927665
535, '6', 0.0090378676
543, '1', 0.0365660604
543, '2', 0.0740329276
543, '3', 0.0594649569
543, '4', 0.0651283057
543, '5', 0.1056609232
543, '6', 0.0606751639
1993, '2', 0.0764141750
523, '1', 0.0559498052
523, '2', 0.0762714868
523, '3', 0.0681311309
543, '7', 0.0740484571
543, '8', 0.1136205594
407, '2', 0.0621726888
562, '5', 0.0809563155
562, '6', 0.0148006640
8185, '5', 2.1215536026
8185, '6', 0.7723721467
8185, '7', 1.9056608614
8185, '8', 2.0314851864
8185, '9', 1.6890538668
8185, '10', 0.9038985410
8185, '11', 1.6608370544
8185, '12', 1.1923475600
7889, '8', 9.6777623559
28, '1', 0.5841479750
308, '1', 0.7296206786
308, '2', 0.8918462689
295, '6', 0.3806196891
295, '7', 0.7325034383
8357, '5', 0.2080287722
8673, '1', 0.0742905309
8405, '1', 0.0885952164
8673, '2', 0.0459189917
8357, '6', 0.1127576937
1858, '9', 0.1642656845
573, '1', 0.0321151763
7823, '4', 0.0447784986
7823, '5', 0.0425536273
1713, '1', 0.0427157170
796, '2', 0.1149240045
2235, '12', 1.0488806427
2235, '13', 1.2080835099
2235, '14', 1.1215289992
2235, '15', 0.9983433152
2235, '16', 1.2023736495
2235, '17', 1.5940180936
2235, '18', 0.9645865791
2235, '19', 1.4764392203
2235, '20', 1.3880878717
181, '6', 0.3771119683
1451, '1', 0.0634065536
1041, '1', 0.0671725869
1846, '17', 0.0647480575
43, '1', 0.0235145721
43, '2', 0.0909074207
43, '3', 0.1072619515
1013, '1', 0.6285373501
1128, '1', 0.0163991511
1128, '2', 0.0105501206
1128, '3', 0.0170433004
1508, '5', 0.1103649696
1993, '3', 0.0973653798
1993, '4', 0.0429278725
1993, '5', 0.0673219527
8269, '2', 0.5667006663
2323, '1', 0.0271427647
2323, '2', 0.0244328253
7751, '8', 1.0168775070
16, '1', 0.0729387632
16, '2', 0.0700032163
16, '3', 0.0278349982
16, '4', 0.0178030534
8340, '3', 1.2543656176
8340, '4', 0.5569468827
8196, '5', 0.0687299727
543, '9', 0.0759216549
839, '1', 0.0376846312
1426, '1', 0.0617495904
1426, '2', 0.1024049048
8082, '2', 0.0644335981
8082, '3', 0.0608100003
8082, '4', 0.0133320446
258, '1', 0.0462459423
258, '2', 0.0221329114
229, '2', 0.4793683478
229, '3', 1.4805870296
137, '1', 3.8952827245
226, '1', 0.6199395392
226, '2', 0.3895661270
7892, '1', 0.0269393914
407, '3', 0.1604110643
407, '4', 0.0910350615
407, '5', 0.0726214877
407, '6', 0.0645917865
407, '7', 0.0833706387
407, '8', 0.0492259275
407, '9', 0.0418577741
407, '10', 0.1131669925
407, '11', 0.0517673633
407, '12', 0.0520044463
407, '13', 0.0602249990
1952, '1', 0.1202168416
1952, '2', 0.1088463218
1952, '3', 0.0417456308
1284, '1', 0.0926937512
1284, '2', 0.0899958830
8045, '1', 0.0689734709
1541, '1', 0.0709770104
1541, '2', 0.1922247443
1061, '1', 0.0919799450
1061, '2', 0.1960173776
385, '3', 0.0948559690
385, '4', 0.0866466810
1391, '1', 0.0465199291
909, '3', 0.0409162030
1348, '1', 0.0621656990
1348, '2', 0.0600576567
1348, '3', 0.0490009100
1348, '4', 0.0277999826
401, '1', 0.0440024150
8865, '1', 1.0106659563
322, '2', 7.7986994693
8000, '1', 0.0667172308
295, '8', 2.3045041449
116, '1', 1.3574122729
322, '3', 1.1121772120
258, '3', 0.6384584280
295, '9', 1.1458016068
1056, '5', 6.3827009171
1056, '6', 6.7715747305
1056, '7', 4.6339460334
1056, '8', 4.8232603341
1056, '9', 4.8679597815
2118, '2', 0.0652788917
2402, '2', 0.8896133685
1712, '2', 0.8329076812
448, '2', 0.0555927928
448, '3', 0.0360836106
448, '4', 0.0266424124
448, '5', 0.0642836255
448, '6', 0.0374584394
2253, '1', 0.0323790413
1603, '1', 0.0433381654
289, '1', 0.0383772147
309, '4', 0.0498224005
1114, '1', 0.0594951250
1085, '1', 0.0638457042
448, '7', 0.0468399576
2020, '1', 0.1052372008
993, '1', 0.1116553570
2402, '3', 1.5514849793
1429, '4', 0.0746164675
1429, '5', 0.0621792881
1429, '6', 0.1060671749
1435, '14', 0.0875481575
1435, '15', 0.1140536414
295, '10', 0.8517737891
1680, '4', 2.8575312457
1674, '4', 1.2678640086
1985, '1', 1.5450715303
8704, '2', 0.0557697581
1261, '1', 0.2070999158
8572, '1', 0.0215876111
456, '2', 0.3792973736
7914, '1', 0.0671982179
7914, '2', 0.1130031397
7659, '1', 0.0886876835
7659, '2', 0.1023336563
7659, '3', 0.0426619818
7659, '4', 0.0928146789
456, '3', 0.7140802266
17, '1', 0.0549855887
1250, '1', 0.0313574683
2252, '1', 0.0681921853
582, '1', 0.0916994652
582, '2', 0.0888307945
1973, '1', 0.0798582344
1973, '2', 0.0687545587
1676, '1', 1.0028987098
8775, '1', 0.0911549282
1542, '2', 0.0464817725
8712, '1', 0.0399410751
638, '2', 0.0547929935
1330, '4', 0.0485015252
2314, '16', 0.9208261432
2254, '1', 4.2022946019
1025, '1', 0.0692783394
1025, '2', 0.0505489494
1421, '1', 0.0271359427
1875, '10', 0.0648516771
8355, '1', 0.7115256943
2276, '1', 0.0309884060
2276, '2', 0.0856870933
2276, '3', 0.0726330526
235, '1', 1.0183556462
2402, '4', 1.3522943398
268, '1', 0.7074859376
2032, '1', 0.0807989195
1025, '3', 0.0679711054
1025, '4', 0.0464013685
1025, '5', 0.0711312743
164, '1', 0.0397574521
164, '2', 0.0059949200
8340, '5', 0.5815490792
1953, '1', 0.2132048938
1953, '2', 1.3221605127
8340, '6', 0.7343574442
2039, '5', 0.2088845394
2039, '6', 0.2107790866
2039, '7', 0.2269201514
1087, '1', 0.2083234972
692, '1', 0.0909287043
692, '2', 0.1840775282
692, '3', 0.0858876542
692, '4', 0.1782470592
692, '5', 0.0862030166
692, '6', 0.0965470007
692, '7', 0.1910655032
2277, '1', 0.6954193452
1264, '1', 0.7280659593
149, '1', 1.8545505654
229, '4', 0.7180246273
1640, '1', 9.9101055419
543, '10', 0.6729084774
1508, '6', 0.0537286556
1508, '7', 0.0547941200
814, '1', 0.0865846085
2283, '1', 0.1091579632
1006, '6', 0.0398690654
1487, '1', 0.1356418012
610, '1', 1.3816366340
1264, '2', 0.1774670537
998, '1', 0.0736838188
1844, '2', 0.0478168861
8865, '2', 0.5290063538
8865, '3', 0.5185712913
2199, '1', 0.8329673050
812, '2', 0.7347697913
326, '1', 1.0376258954
276, '1', 0.6941184398
2063, '1', 0.1134356336
302, '2', 0.3245321532
618, '1', 0.0657208723
582, '3', 0.0743786234
182, '1', 1.3976526783
182, '2', 1.1738803143
456, '4', 0.0554129825
137, '2', 0.2948949401
2020, '2', 0.0792599051
2264, '4', 1.0413074313
1970, '1', 0.1030593546
1970, '2', 0.0671655112
8600, '1', 0.0470422049
7808, '14', 0.0574043640
2376, '1', 0.0275278077
1608, '1', 0.0287964379
2283, '2', 0.0285274610
1810, '4', 0.0417585087
2314, '17', 0.8695916413
7649, '6', 0.4525750994
1861, '5', 0.0719140237
2264, '5', 0.7125935939
2314, '18', 4.8163061995
2402, '5', 1.4836089701
8766, '1', 1.4280675903
1016, '3', 0.0354546307
478, '1', 0.0771792508
259, '1', 0.0374278890
1333, '4', 0.0583098410
1333, '5', 0.0766583941
1333, '6', 0.0446788241
1333, '7', 0.0516714050
1333, '8', 0.0753598369
407, '14', 1.5244273674
407, '15', 0.6982472201
407, '16', 0.8367217485
407, '17', 3.0330473028
2314, '19', 4.6977853009
2314, '20', 4.9182002682
155, '1', 0.0499980777
1505, '1', 0.6385283166
276, '2', 0.4341371302
456, '5', 0.1766602784
2283, '3', 0.0730542677
1178, '1', 7.2684497089
1178, '2', 7.6965390151
781, '1', 0.4739936300
1384, '2', 1.3741787950
1506, '1', 2.4284985591
1625, '1', 3.0392681482
1521, '1', 0.1160091414
1521, '2', 0.0294924033
1521, '3', 0.0280537509
317, '4', 0.4395571982
8865, '4', 0.7047198047
8865, '5', 1.0447863551
8865, '6', 0.4412685499
8865, '7', 0.7103329259
503, '1', 0.2002264840
478, '2', 0.1106842388
2314, '21', 1.3469905865
8185, '13', 0.8835177752
8185, '14', 1.0473635550
8185, '15', 1.6481036895
8185, '16', 1.8723477045
8185, '17', 2.8716834929
8185, '18', 1.3313575919
8185, '19', 1.4301005081
699, '1', 0.0576998827
322, '4', 0.0519960141
385, '5', 0.0405039646
385, '6', 0.0561806138
385, '7', 0.0729458435
1998, '1', 0.1015486468
385, '8', 0.0911759732
8340, '7', 2.7936066186
8340, '8', 3.0483163207
8340, '9', 0.1350804044
1623, '1', 0.1461828054
1535, '1', 0.0412113277
1535, '2', 0.0278097348
1244, '1', 0.0524638428
2373, '1', 0.0483743251
8589, '1', 0.0711486606
8589, '2', 0.3002330574
471, '3', 7.3635480418
1712, '3', 1.0915397602
235, '2', 0.3395597057
452, '1', 0.1547998851
452, '2', 0.0529949948
241, '1', 0.0571563021
8340, '10', 0.7186254386
407, '18', 1.1682112115
407, '19', 0.1914766159
407, '20', 1.0017718574
407, '21', 0.4612899505
1712, '4', 0.7385080514
2314, '22', 4.2947209712
1712, '5', 2.3133172592
16, '5', 0.0835559567
471, '4', 1.2244611724
209, '3', 0.1568594759
2126, '1', 0.0946070652
318, '1', 0.0470613755
8340, '11', 0.8140434317
8340, '12', 0.6059688082
8340, '13', 0.9860236487
1553, '1', 0.0824202781
1553, '2', 2.6066491058
1541, '3', 0.1837109413
1084, '1', 0.1983466545
8185, '20', 0.7894776547
1051, '3', 0.0283397228
1051, '4', 0.0437803797
1098, '3', 0.0138207746
1098, '4', 0.0531522153
8330, '1', 0.0517294493
1092, '1', 0.3215461467
8838, '2', 1.3247821498
2039, '8', 0.0847805391
2314, '23', 3.2995664899
2314, '24', 3.6938679380
1682, '2', 6.6986371679
8082, '5', 0.2287514978
8082, '6', 0.3949722923
1969, '1', 1.3753850669
1969, '2', 0.0674599784
8142, '2', 0.1892276474
8142, '3', 0.1417605143
686, '3', 0.0810999145
1846, '18', 0.1056559197
779, '1', 0.0513935674
775, '1', 4.9910584323
2118, '3', 0.2084704606
2118, '4', 0.1698625921
838, '1', 0.0522166706
883, '1', 0.1656283025
487, '1', 0.5728284129
1703, '8', 0.1295621180
319, '2', 0.0271622057
8730, '1', 0.3704521093
8730, '2', 0.4594653016
8730, '3', 0.2711462860
341, '1', 0.1096985040
8231, '3', 0.9537220905
2030, '7', 0.0548842441
2030, '8', 0.0836514084
8231, '4', 0.7118742475
1521, '4', 0.0689232014
1061, '3', 0.3245613982
945, '1', 0.2634518433
1601, '1', 0.6904072334
2302, '1', 0.1300581745
449, '1', 0.0983202523
8758, '1', 0.1195686598
1146, '1', 0.0742657415
1418, '2', 0.0475776355
240, '1', 0.3925864520
240, '2', 0.0327052592
909, '4', 0.3568690752
2300, '6', 0.0734264262
1867, '1', 0.0560531063
957, '1', 0.1183484119
456, '6', 0.1296896933
478, '3', 0.2312444196
2305, '1', 2.2790067134
1703, '9', 0.1072063455
2068, '1', 0.3507526429
407, '22', 4.8392075938
407, '23', 0.6765101685
1703, '10', 0.0329867465
491, '3', 0.1385015556
1703, '11', 0.1409360569
1703, '12', 0.0596337636
207, '1', 0.2184274979
456, '7', 0.0532219848
603, '1', 0.1289306993
576, '1', 0.0950048904
634, '1', 0.0536244927
638, '3', 0.0665256309
634, '2', 0.0583020630
471, '5', 1.2174110775
1835, '1', 1.6152303962
245, '1', 0.0572848990
258, '4', 0.0324844897
258, '5', 0.0256372057
1680, '5', 7.1597259608
1680, '6', 2.0342453874
1680, '7', 0.7760994864
1703, '13', 0.1052338650
1703, '14', 0.1278965907
1180, '1', 0.1652579883
1661, '1', 0.3679920220
1923, '1', 0.0918110749
7939, '1', 0.0815255928
1085, '2', 1.2019840467
200, '1', 0.0523833595
200, '2', 0.0579225989
2356, '1', 0.0423580890
347, '1', 0.0689536007
7731, '1', 0.0362476642
8073, '1', 0.0319300947
8073, '2', 0.2588652002
7870, '1', 0.1373860526
7870, '2', 0.1070621731
204, '1', 5.2972412384
269, '1', 0.0865829997
269, '2', 0.1816800410
7679, '1', 0.0510754733
1344, '1', 0.0291451911
1000, '8', 0.1949422486
803, '1', 0.0327784721
1110, '2', 0.0680687857
2287, '1', 0.1678511621
8573, '1', 0.0425922218
8573, '2', 0.0714765918
8573, '3', 0.0290854970
8573, '4', 0.0171666674
577, '1', 0.1201889706
1247, '1', 0.0237910527
1247, '2', 0.0816272740
407, '24', 7.3748644323
2334, '1', 0.2790023369
1194, '1', 0.2206746247
393, '1', 0.1678105939
8486, '1', 1.2024353606
503, '2', 0.0886975477
2304, '5', 0.0687234557
995, '1', 0.2339402949
