--ramp rate info
Generator, Unit, ramp rate bound
2401, '11', 5.7105502434
1606, '1', 1.2134040828
8832, '2', 0.1677091382
8832, '3', 0.1401210036
7773, '1', 8.0512249437
7773, '2', 4.6522111373
7773, '3', 10.9624648499
7773, '4', 4.0184714392
7773, '5', 3.9387670890
7773, '6', 2.8752766426
1606, '2', 1.3898900452
8018, '1', 3.1500825823
8018, '2', 7.0922061848
8018, '3', 4.4339772180
8018, '4', 11.3838185695
615, '2', 0.2018395445
745, '2', 2.4126803456
744, '3', 0.5878726483
1888, '1', 0.3382050545
1887, '1', 4.2102027666
1593, '1', 0.5155729757
1593, '2', 0.5546517190
1593, '3', 0.1624252921
8400, '1', 0.3508503472
426, '1', 1.6020189236
426, '2', 1.5320146708
426, '3', 3.0409264481
426, '4', 1.7353140568
426, '5', 4.0144942617
426, '6', 0.3938373422
1500, '1', 0.8724559704
8565, '1', 3.0002599310
8565, '2', 1.4709491346
2221, '1', 0.2160103370
2221, '2', 1.6901599006
1586, '1', 4.3773277262
1586, '2', 1.7665373015
1586, '3', 1.9201881757
1586, '4', 1.9810782231
1584, '1', 1.8441675337
1585, '1', 0.7843518812
1005, '1', 1.5100585832
1005, '2', 1.4913008451
1005, '3', 3.6018822208
1005, '4', 1.9365989233
8400, '2', 5.9586324797
8400, '3', 2.4126417689
8400, '4', 4.3517848471
8400, '5', 3.4517100121
8400, '6', 2.8882812228
8400, '7', 3.7567238550
1891, '1', 1.4243973337
1891, '2', 2.0473332468
1891, '3', 1.8377079700
1891, '4', 2.0017560436
8684, '1', 2.6743447495
8684, '2', 2.6389320804
8684, '3', 2.3324269548
1733, '1', 3.4175110401
1733, '2', 2.4480484873
8414, '1', 1.1898362692
8414, '2', 2.1678671136
8414, '3', 2.3398108272
2339, '1', 0.3444927550
2339, '2', 0.1516999937
1498, '1', 3.4885766815
1498, '2', 5.9407851975
1498, '3', 8.5009275578
1498, '4', 6.6777016447
1498, '5', 8.4041970618
1498, '6', 0.0555085583
1498, '7', 0.1151228194
8724, '1', 1.1568396526
8724, '2', 0.7853541689
8724, '3', 1.4992352552
8724, '4', 1.6616514917
1642, '1', 1.6880026347
1642, '2', 2.4295984277
1642, '3', 3.1410120461
1642, '4', 1.8444808555
1642, '5', 2.2176492828
1642, '6', 2.5653855295
1642, '7', 3.1547218203
1642, '8', 1.9525578103
1742, '1', 2.2824639265
1742, '2', 1.8027675314
1731, '1', 3.3089814711
1731, '2', 2.4790318779
8671, '1', 8.4743143125
8671, '2', 8.5194575053
1045, '1', 0.0148545009
