--base
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
42, NaN, -0.0498218500, 0.0000000000, 1.0062531656, -0.0000000000, -0.0498218499, NaN, -0.0000000090, -0.0000000091, 0.0000000000
43, 0.0469793621, -0.0000000000, 0.0000000000, 1.0522603370, -0.0000000000, 0.0469793622, NaN, -0.0000000090, -0.0000000091, 0.0000000000
44, NaN, -0.0842753900, 0.0000000000, 1.0525380684, -0.0000000000, -0.0842753899, NaN, -0.0000000090, -0.0000000091, 0.0000000000
45, NaN, -0.0000000000, 0.0000000000, 1.0587083617, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
46, 0.0000000021, -0.0000000000, 0.0000000000, 1.0599948435, -0.0000000000, 0.0000000022, NaN, -0.0000000090, -0.0000000091, 0.0000000000
47, NaN, -0.1422938000, 0.0000000000, 1.0059669771, -0.0000000000, -0.1422937999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
48, NaN, -0.1933269000, 0.0000000000, 1.0469864087, -0.0000000000, -0.1933268999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
49, 0.0339998138, -0.0000000000, 0.0000000000, 1.0573959476, -0.0000000000, 0.0339998139, NaN, -0.0000000090, -0.0000000091, 0.0000000000
50, NaN, -0.0000000000, 0.0000000000, 1.0371959066, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
51, 0.0452522328, -0.0000000000, 0.0000000000, 1.0304045279, -0.0000000000, 0.0452522329, NaN, -0.0000000090, -0.0000000091, 0.0000000000
52, NaN, -0.0209453200, 0.0000000000, 1.0465762437, -0.0000000000, -0.0209453199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
53, NaN, -0.0463394500, 0.0000000000, 1.0086177521, -0.0000000000, -0.0463394499, NaN, -0.0000000090, -0.0000000091, 0.0000000000
54, NaN, -0.0000000000, 0.0000000000, 1.0535868044, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
55, NaN, -0.0317523200, 0.0000000000, 1.0535573692, -0.0000000000, -0.0317523199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
56, NaN, -0.0827241700, 0.0000000000, 1.0566645904, -0.0000000000, -0.0827241699, NaN, -0.0000000090, -0.0000000091, 0.0000000000
57, NaN, -0.0000000000, 0.0000000000, 1.0418449607, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
58, NaN, -0.0000000000, 0.0000000000, 1.0566433260, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
59, NaN, -0.0000000000, 0.0000000000, 1.0566018609, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
