--contingency
--label
'Monument_wildfire_data_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
36, NaN, -0.0824990000, 0.0000000000, 1.0016600711, -0.0000000000, -0.0824990000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
37, 0.0000000000, -0.1289639000, 0.0000000000, 1.0076249236, -0.0000000000, -0.1289639000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
38, NaN, -0.0262467600, 0.0000000000, 0.9978407661, -0.0000000000, -0.0262467600, NaN, -0.0000000099, -0.0000000099, 0.0000000000
39, NaN, -0.0598058200, 0.0000000000, 1.0001387499, -0.0000000000, -0.0598058200, NaN, -0.0000000099, -0.0000000099, 0.0000000000
40, NaN, -0.0000000000, 0.0000000000, 0.9887349523, -0.0000000000, 0.0000000000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
41, NaN, -0.0350269800, 0.0000000000, 1.0029968121, -0.0000000000, -0.0350269800, NaN, -0.0000000099, -0.0000000099, 0.0000000000
42, NaN, -0.0498218500, 0.0000000000, 0.9768984777, -0.0000000000, -0.0498218500, NaN, -0.0000000099, -0.0000000099, 0.0000000000
43, 0.0457161851, -0.0000000000, 0.0000000000, 1.0004419664, -0.0000000000, 0.0457161851, NaN, -0.0000000099, -0.0000000099, 0.0000000000
44, NaN, -0.0842753900, 0.0000000000, 1.0000637655, -0.0000000000, -0.0842753900, NaN, -0.0000000099, -0.0000000099, 0.0000000000
45, NaN, -0.0000000000, 0.0000000000, 1.0020862267, -0.0000000000, 0.0000000000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
46, 0.0006440828, -0.0000000000, 0.0000000000, 1.0074976758, -0.0000000000, 0.0006440828, NaN, -0.0000000099, -0.0000000099, 0.0000000000
47, NaN, -0.1422938000, 0.0000000000, 0.9944168780, -0.0000000000, -0.1422938000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
